image_relative_path,severity_label,source_domain,municipality,province,barangay,latitude,longitude,incident_type,description,weather,review_status
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0001.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0002.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0003.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0004.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0005.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0006.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0007.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0008.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0009.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0010.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0011.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0012.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0013.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0014.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0015.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0016.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0017.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0018.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0019.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0020.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0021.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0022.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0023.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0024.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0025.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0026.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0027.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0028.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0029.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0030.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0031.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0032.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0033.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0034.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0035.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0036.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0037.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0038.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0039.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0040.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0041.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0042.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0043.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0044.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0045.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0046.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0047.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0048.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0049.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0050.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0051.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0052.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0053.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0054.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0055.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0056.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0057.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0058.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0059.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0060.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0061.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0062.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0063.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0064.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0065.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0066.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0067.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0068.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0069.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0070.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0071.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0072.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
curated/external_trial_accident_severity_image_dataset_v4/images/train/minor/trial_minor_0073.jpg,related,road_accident,,,,,,vehicular_accident,Accident or emergency scene photo approved for incident relevance training.,unknown,relevance_positive_from_severity_manifest
